# BONE, CORTICAL (ICRP) from NIST Database
3.584e-02 6.610e-02 1.668e-01 5.942e-01 0.000e+00 5.970e-01
3.957e-02 5.613e-02 1.669e-01 4.376e-01 0.000e+00 4.435e-01
4.000e-02 5.513e-02 1.669e-01 4.232e-01 0.000e+00 4.293e-01
4.368e-02 4.757e-02 1.666e-01 3.220e-01 0.000e+00 3.313e-01
4.822e-02 4.023e-02 1.659e-01 2.367e-01 0.000e+00 2.478e-01
5.000e-02 3.781e-02 1.656e-01 2.114e-01 0.000e+00 2.229e-01
5.323e-02 3.394e-02 1.649e-01 1.738e-01 0.000e+00 1.869e-01
5.876e-02 2.857e-02 1.636e-01 1.275e-01 0.000e+00 1.419e-01
6.000e-02 2.754e-02 1.633e-01 1.194e-01 0.000e+00 1.340e-01
6.486e-02 2.399e-02 1.619e-01 9.349e-02 0.000e+00 1.102e-01
7.161e-02 2.009e-02 1.599e-01 6.844e-02 0.000e+00 8.649e-02
7.905e-02 1.679e-02 1.577e-01 5.009e-02 0.000e+00 6.852e-02
8.000e-02 1.642e-02 1.574e-01 4.824e-02 0.000e+00 6.666e-02
8.726e-02 1.400e-02 1.552e-01 3.666e-02 0.000e+00 5.667e-02
9.633e-02 1.165e-02 1.524e-01 2.682e-02 0.000e+00 4.770e-02
1.000e-01 1.087e-02 1.513e-01 2.383e-02 0.000e+00 4.486e-02
1.063e-01 9.694e-03 1.494e-01 1.964e-02 0.000e+00 4.211e-02
1.174e-01 8.040e-03 1.462e-01 1.435e-02 0.000e+00 3.833e-02
1.296e-01 6.666e-03 1.429e-01 1.050e-02 0.000e+00 3.527e-02
1.431e-01 5.518e-03 1.394e-01 7.682e-03 0.000e+00 3.279e-02
1.500e-01 5.042e-03 1.377e-01 6.624e-03 0.000e+00 3.179e-02
1.579e-01 4.568e-03 1.358e-01 5.638e-03 0.000e+00 3.145e-02
1.743e-01 3.776e-03 1.320e-01 4.138e-03 0.000e+00 3.087e-02
1.925e-01 3.116e-03 1.282e-01 3.037e-03 0.000e+00 3.039e-02
2.000e-01 2.893e-03 1.267e-01 2.697e-03 0.000e+00 3.023e-02
2.125e-01 2.571e-03 1.243e-01 2.236e-03 0.000e+00 3.028e-02
2.345e-01 2.121e-03 1.204e-01 1.653e-03 0.000e+00 3.036e-02
2.589e-01 1.747e-03 1.164e-01 1.224e-03 0.000e+00 3.047e-02
2.858e-01 1.439e-03 1.125e-01 9.098e-04 0.000e+00 3.059e-02
3.000e-01 1.308e-03 1.106e-01 7.878e-04 0.000e+00 3.065e-02
3.155e-01 1.185e-03 1.086e-01 6.792e-04 0.000e+00 3.072e-02
3.483e-01 9.745e-04 1.046e-01 5.094e-04 0.000e+00 3.086e-02
3.845e-01 8.014e-04 1.007e-01 3.841e-04 0.000e+00 3.100e-02
4.000e-01 7.411e-04 9.921e-02 3.437e-04 0.000e+00 3.106e-02
4.245e-01 6.587e-04 9.691e-02 2.913e-04 0.000e+00 3.107e-02
4.686e-01 5.413e-04 9.313e-02 2.225e-04 0.000e+00 3.109e-02
5.000e-01 4.759e-04 9.067e-02 1.873e-04 0.000e+00 3.111e-02
5.173e-01 4.447e-04 8.940e-02 1.713e-04 0.000e+00 3.107e-02
5.710e-01 3.654e-04 8.572e-02 1.330e-04 0.000e+00 3.096e-02
6.000e-01 3.311e-04 8.391e-02 1.173e-04 0.000e+00 3.090e-02
6.304e-01 3.001e-04 8.212e-02 1.037e-04 0.000e+00 3.076e-02
6.959e-01 2.464e-04 7.859e-02 8.141e-05 0.000e+00 3.049e-02
7.682e-01 2.023e-04 7.514e-02 6.493e-05 0.000e+00 3.022e-02
8.000e-01 1.866e-04 7.375e-02 5.956e-05 0.000e+00 3.011e-02
8.480e-01 1.661e-04 7.177e-02 5.295e-05 0.000e+00 2.984e-02
9.361e-01 1.363e-04 6.847e-02 4.324e-05 0.000e+00 2.940e-02
1.000e+00 1.195e-04 6.633e-02 3.702e-05 0.000e+00 2.911e-02
1.022e+00 1.145e-04 6.564e-02 3.501e-05 0.000e+00 2.898e-02
1.033e+00 1.121e-04 6.530e-02 3.410e-05 5.493e-09 2.891e-02
1.141e+00 9.188e-05 6.215e-02 2.775e-05 5.091e-06 2.833e-02
1.250e+00 7.655e-05 5.932e-02 2.371e-05 2.701e-05 2.780e-02
1.259e+00 7.546e-05 5.910e-02 2.342e-05 2.969e-05 2.775e-02
1.390e+00 6.191e-05 5.613e-02 1.965e-05 8.281e-05 2.707e-02
1.500e+00 5.317e-05 5.392e-02 1.714e-05 1.459e-04 2.657e-02
1.535e+00 5.077e-05 5.326e-02 1.646e-05 1.690e-04 2.640e-02
1.694e+00 4.170e-05 5.050e-02 1.391e-05 2.899e-04 2.568e-02
1.870e+00 3.422e-05 4.781e-02 1.184e-05 4.474e-04 2.497e-02
2.000e+00 2.992e-05 4.602e-02 1.064e-05 5.748e-04 2.451e-02
2.044e+00 2.865e-05 4.544e-02 1.028e-05 6.195e-04 2.435e-02
2.065e+00 2.807e-05 4.517e-02 1.012e-05 6.409e-04 2.427e-02
2.279e+00 2.305e-05 4.265e-02 8.702e-06 8.650e-04 2.356e-02
2.516e+00 1.891e-05 4.024e-02 7.510e-06 1.119e-03 2.287e-02
2.778e+00 1.551e-05 3.793e-02 6.506e-06 1.402e-03 2.220e-02
3.000e+00 1.330e-05 3.620e-02 5.836e-06 1.642e-03 2.169e-02
3.066e+00 1.273e-05 3.572e-02 5.662e-06 1.713e-03 2.156e-02
3.385e+00 1.045e-05 3.359e-02 4.941e-06 2.052e-03 2.094e-02
