# MUSCLE, STRIATED (ICRU) from NIST Database
5.323e-02 1.691e-02 1.778e-01 2.340e-02 0.000e+00 3.933e-02
5.876e-02 1.414e-02 1.759e-01 1.692e-02 0.000e+00 3.366e-02
6.000e-02 1.361e-02 1.755e-01 1.580e-02 0.000e+00 3.260e-02
6.486e-02 1.180e-02 1.737e-01 1.223e-02 0.000e+00 3.058e-02
7.161e-02 9.819e-03 1.713e-01 8.839e-03 0.000e+00 2.833e-02
7.905e-02 8.163e-03 1.686e-01 6.389e-03 0.000e+00 2.637e-02
8.000e-02 7.982e-03 1.682e-01 6.143e-03 0.000e+00 2.615e-02
8.726e-02 6.776e-03 1.656e-01 4.619e-03 0.000e+00 2.583e-02
9.633e-02 5.616e-03 1.624e-01 3.339e-03 0.000e+00 2.554e-02
1.000e-01 5.229e-03 1.612e-01 2.953e-03 0.000e+00 2.544e-02
1.063e-01 4.652e-03 1.591e-01 2.418e-03 0.000e+00 2.572e-02
1.174e-01 3.842e-03 1.555e-01 1.747e-03 0.000e+00 2.618e-02
1.296e-01 3.173e-03 1.518e-01 1.265e-03 0.000e+00 2.668e-02
1.431e-01 2.617e-03 1.479e-01 9.166e-04 0.000e+00 2.720e-02
1.500e-01 2.387e-03 1.460e-01 7.868e-04 0.000e+00 2.745e-02
1.579e-01 2.159e-03 1.439e-01 6.664e-04 0.000e+00 2.779e-02
1.743e-01 1.779e-03 1.399e-01 4.846e-04 0.000e+00 2.846e-02
1.925e-01 1.463e-03 1.357e-01 3.526e-04 0.000e+00 2.916e-02
2.000e-01 1.357e-03 1.341e-01 3.122e-04 0.000e+00 2.943e-02
2.125e-01 1.204e-03 1.316e-01 2.576e-04 0.000e+00 2.975e-02
2.345e-01 9.907e-04 1.274e-01 1.890e-04 0.000e+00 3.028e-02
2.589e-01 8.143e-04 1.231e-01 1.390e-04 0.000e+00 3.082e-02
2.858e-01 6.693e-04 1.189e-01 1.027e-04 0.000e+00 3.137e-02
3.000e-01 6.078e-04 1.169e-01 8.865e-05 0.000e+00 3.164e-02
3.155e-01 5.499e-04 1.147e-01 7.619e-05 0.000e+00 3.179e-02
3.483e-01 4.517e-04 1.106e-01 5.682e-05 0.000e+00 3.208e-02
3.845e-01 3.710e-04 1.064e-01 4.262e-05 0.000e+00 3.237e-02
4.000e-01 3.429e-04 1.048e-01 3.806e-05 0.000e+00 3.249e-02
4.245e-01 3.046e-04 1.024e-01 3.216e-05 0.000e+00 3.254e-02
4.686e-01 2.501e-04 9.835e-02 2.446e-05 0.000e+00 3.263e-02
5.000e-01 2.197e-04 9.575e-02 2.055e-05 0.000e+00 3.269e-02
5.173e-01 2.053e-04 9.440e-02 1.879e-05 0.000e+00 3.266e-02
5.710e-01 1.686e-04 9.051e-02 1.455e-05 0.000e+00 3.258e-02
6.000e-01 1.527e-04 8.858e-02 1.281e-05 0.000e+00 3.254e-02
6.304e-01 1.384e-04 8.669e-02 1.128e-05 0.000e+00 3.241e-02
6.959e-01 1.136e-04 8.296e-02 8.797e-06 0.000e+00 3.214e-02
7.682e-01 9.324e-05 7.932e-02 7.022e-06 0.000e+00 3.188e-02
8.000e-01 8.597e-05 7.785e-02 6.471e-06 0.000e+00 3.177e-02
8.480e-01 7.651e-05 7.576e-02 5.817e-06 0.000e+00 3.150e-02
9.361e-01 6.279e-05 7.228e-02 4.794e-06 0.000e+00 3.105e-02
1.000e+00 5.504e-05 7.002e-02 4.023e-06 0.000e+00 3.075e-02
1.022e+00 5.270e-05 6.928e-02 3.757e-06 0.000e+00 3.061e-02
1.033e+00 5.159e-05 6.892e-02 3.640e-06 3.411e-09 3.054e-02
1.141e+00 4.230e-05 6.559e-02 2.934e-06 3.231e-06 2.993e-02
1.250e+00 3.524e-05 6.261e-02 2.550e-06 1.745e-05 2.938e-02
